Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,query,latitude,longitude,school,kindergarten,university,hospital,clinic,supermarket,place_of_worship,bus_station,marketplace
Low-Cost House,Dungun,Kuala Paka,TMN MURNI PERDANA,OFF JLN PAKA-DUNGUN,May 2024,Freehold,111.00,sq.m,54,sq.m,    ,"RM120,000.00","OFF JLN PAKA-DUNGUN, Dungun, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost House,Kuala Muda,Sungai Petani,TMN DESA AMAN (SG LALANG) FASA 3,TAMAN DESA AMAN,April 2024,Freehold,136.00,sq.m,71,sq.m,    ,"RM200,000.00","TAMAN DESA AMAN, Kuala Muda, Malaysia",5.7044671,100.5149956,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Petaling,Damansara,"BUKIT JELUTONG, SHAH ALAM",JLN MIMBAR U8/2A,June 2024,Freehold,198.00,sq.m,179,sq.m,    ,"RM850,000.00","JLN MIMBAR U8/2A, Petaling, Malaysia",3.1025075,101.5267271,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Hulu Langat,Hulu Langat,TMN SURIA RESIDEN,JLN SURIA RESIDEN 1/1,February 2024,Freehold,156.00,sq.m,156,sq.m,    ,"RM999,000.00","JLN SURIA RESIDEN 1/1, Hulu Langat, Malaysia",3.0783858,101.7763446,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Petaling,Bukit Raja,BANDAR SETIA ALAM,JLN SETIA DAMAI U13/15D,April 2024,Freehold,189.00,sq.m,176,sq.m,    ,"RM955,000.00","JLN SETIA DAMAI U13/15D, Petaling, Malaysia",3.0982161,101.4646257,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Bahagian Sarikei,Bahagian Sarikei,TAMAN SADOK,"JALAN MERANTI, SARIKEI",May 2024,Leasehold,140.00,sq.m,109,sq.m,    ,"RM270,000.00","JALAN MERANTI, SARIKEI, Bahagian Sarikei, Malaysia",2.1220227,111.5350171,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Petaling,Petaling,TAMAN PINGGIRAN PUTRA - SEKSYEN 2,   ,April 2024,Leasehold,70.00,sq.m,-,-,3,"RM225,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kuantan,Sungai Karang,TAMAN CENDUR MAKMUR 3 (PL 6636),LORONG CENDUR MAKMUR 3/2,April 2024,Freehold,154.00,sq.m,89,sq.m,    ,"RM297,000.00","LORONG CENDUR MAKMUR 3/2, Kuantan, Malaysia",4.1713113,103.4070708,Yes,No,No,No,Yes,No,Yes,No,No
2 - 2 1/2 Storey Terraced,Sandakan,Sandakan,TAMAN MAWAR FASA 7,JALAN SIBUGA,June 2024,Leasehold,166.10,sq.m,154,sq.m,    ,"RM420,000.00","JALAN SIBUGA, Sandakan, Malaysia",5.8288906,118.0777452,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Hulu Langat,Bandar Kajang,TMN JASMIN,JLN JASMIN 10,January 2024,Freehold,130.00,sq.m,102,sq.m,    ,"RM500,000.00","JLN JASMIN 10, Hulu Langat, Malaysia",2.9820403,101.8091632,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
